PST_PT_C,SPOT_NUM,PST_SEV_CD,PST_SEV_DS,PST_SPC_CD,PST_CMN_NM,PST_LTN_NM,PST_CM_CD,PST_CM_DSC,CPTR_YR,NUM_TREES,AREA_HA,ORG_UNITNO,TR_SPCS_CD,TR_CM_NM,COMMENTS,GEOMETRY,OBJECTID,X,Y
1860,273852021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,21,FD,Douglas-fir,,,1625523,-121.5268312473223,50.72662513346587
1861,273882021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,20,0.25,1831,PL,lodgepole pine,,,1625526,-115.05339018464646,50.277847670860375
1862,273902021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,20,0.25,1831,PL,lodgepole pine,,,1625528,-115.06217964527072,50.27958812099176
1863,273932021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,PA,whitebark pine,,,1625531,-122.7646710970006,50.77297407974045
1864,273952021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,25,0.25,21,FD,Douglas-fir,,,1625533,-121.57217057334857,50.73257411680528
1865,273982021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,21,FD,Douglas-fir,,,1625536,-121.52922454852069,50.73246269036175
1866,268932021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,FD,Douglas-fir,,,1625031,-121.5334031764193,50.5258899248549
1867,268942021,S,Severe,NDM,Drought - Mortality,,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,23,CW,western redcedar,,,1625032,-123.24086591436732,50.581598255441435
1868,268952021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,FD,Douglas-fir,,,1625033,-121.64420568753295,50.53069230842703
1869,268962021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,21,FD,Douglas-fir,,,1625034,-120.86677708855264,50.49805422658
1870,268972021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,45,0.5,1831,FD,Douglas-fir,,,1625035,-115.59422718996166,50.127630732144645
1871,268982021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,21,FD,Douglas-fir,,,1625036,-120.9123204068221,50.50169740641074
1872,268992021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,FD,Douglas-fir,,,1625037,-121.4334385323755,50.524529292223264
1873,269002021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,21,FD,Douglas-fir,,,1625038,-120.16509990355827,50.46516584012004
1874,269022021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,21,FD,Douglas-fir,,,1625040,-121.31907112784748,50.52086845739568
1875,269052021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,FD,Douglas-fir,,,1625043,-122.1071597753501,50.55171514646013
